accession_id,virus_name,location,collection_date
EPI_ISL_425356,hCoV-19/England/CAMB-74C03/2020,Europe / United Kingdom / England,2020-03-16
EPI_ISL_424024,hCoV-19/England/20129033804/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_425355,hCoV-19/England/CAMB-74BF7/2020,Europe / United Kingdom / England,2020-03-17
EPI_ISL_412041,hCoV-19/Shenzhen/HKU-SZ-001/2020,Asia / China / Shenzhen,2020-01
EPI_ISL_424023,hCoV-19/England/20129033504/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_425354,hCoV-19/England/CAMB-74BCA/2020,Europe / United Kingdom / England,2020-03-17
EPI_ISL_412042,hCoV-19/Shenzhen/HKU-SZ-004/2020,Asia / China / Shenzhen,2020-01
EPI_ISL_424022,hCoV-19/England/20129032804/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_425353,hCoV-19/England/CAMB-74BBB/2020,Europe / United Kingdom / England,2020-03-17
EPI_ISL_412043,hCoV-19/Shenzhen/HKU-SZ-001/2020,Asia / China / Shenzhen,2020-01
EPI_ISL_424021,hCoV-19/England/20129032404/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_425352,hCoV-19/England/CAMB-74BAC/2020,Europe / United Kingdom / England,2020-03-17
EPI_ISL_412044,hCoV-19/Shenzhen/HKU-SZ-002b/2020,Asia / China / Shenzhen,2020-01
EPI_ISL_424020,hCoV-19/England/20129032104/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_425351,hCoV-19/England/CAMB-74B9D/2020,Europe / United Kingdom / England,2020-03-17
EPI_ISL_412045,hCoV-19/Shenzhen/HKU-SZ-004/2020,Asia / China / Shenzhen,2020-01
EPI_ISL_425350,hCoV-19/England/CAMB-74B60/2020,Europe / United Kingdom / England,2020-03-18
EPI_ISL_412046,hCoV-19/Shenzhen/HKU-SZ-005/2020,Asia / China / Shenzhen,2020-01
EPI_ISL_412049,hCoV-19/China/HKU-SZ-007a/2020,Asia / China,2020-01
EPI_ISL_424019,hCoV-19/England/20129031804/2020,Europe / United Kingdom / England,2020-03-19
EPI_ISL_424059,hCoV-19/England/20129062604/2020,Europe / United Kingdom / England,2020-03-21
EPI_ISL_424058,hCoV-19/England/20129062104/2020,Europe / United Kingdom / England,2020-03-12
EPI_ISL_425389,hCoV-19/England/CAMB-75455/2020,Europe / United Kingdom / England,2020-03-16
EPI_ISL_424057,hCoV-19/England/20129061704/2020,Europe / United Kingdom / England,2020-03-12
EPI_ISL_425388,hCoV-19/England/CAMB-75437/2020,Europe / United Kingdom / England,2020-03-14
EPI_ISL_424056,hCoV-19/England/20129061004/2020,Europe / United Kingdom / England,2020-03-12
EPI_ISL_425387,hCoV-19/England/CAMB-75419/2020,Europe / United Kingdom / England,2020-03-13
EPI_ISL_424055,hCoV-19/England/20129059304/2020,Europe / United Kingdom / England,2020-03-09
EPI_ISL_425386,hCoV-19/England/CAMB-7537E/2020,Europe / United Kingdom / England,2020
EPI_ISL_424054,hCoV-19/England/20129059204/2020,Europe / United Kingdom / England,2020-03-09
EPI_ISL_425385,hCoV-19/England/CAMB-74EC1/2020,Europe / United Kingdom / England,2020-03-18
EPI_ISL_424053,hCoV-19/England/20129057604/2020,Europe / United Kingdom / England,2020-03-10
EPI_ISL_425384,hCoV-19/England/CAMB-74EB2/2020,Europe / United Kingdom / England,2020-03-18
EPI_ISL_424052,hCoV-19/England/20129056804/2020,Europe / United Kingdom / England,2020-03-21
